_id,Ár,Efni,Fjöldi gilda,Styrkur í (µg/ m3),Fjöldi yfir
1,1994,Niturdíoxíð NO2,11,75,3
2,1994,Kolmónoxíð CO,147,1,0
3,1994,Óson O3,171,27,0
4,1994,Brennisteinsdíoxíð SO2,173,5,0
5,1994,Svifryk PM10,173,26,1
6,1994,Brennisteinsvetni H2S,"","",""
7,1995,Niturdíoxíð NO2,192,41,11
8,1995,Kolmónoxíð CO,137,1,0
9,1995,Óson O3,197,34,12
10,1995,Brennisteinsdíoxíð SO2,189,5,0
11,1995,Svifryk PM10,197,31,2
12,1995,Brennisteinsvetni H2S,"","",""
13,1996,Niturdíoxíð NO2,221,36,1
14,1996,Kolmónoxíð CO,209,1,0
15,1996,Óson O3,228,43,29
16,1996,Brennisteinsdíoxíð SO2,190,4,0
17,1996,Svifryk PM10,133,25,0
18,1996,Brennisteinsvetni H2S,"","",""
19,1997,Niturdíoxíð NO2,137,33,1
20,1997,Kolmónoxíð CO,99,1,0
21,1997,Óson O3,207,43,38
22,1997,Brennisteinsdíoxíð SO2,207,4,0
23,1997,Svifryk PM10,207,25,1
24,1997,Brennisteinsvetni H2S,"","",""
25,1998,Niturdíoxíð NO2,209,30,0
26,1998,Kolmónoxíð CO,147,1,0
27,1998,Óson O3,205,46,38
28,1998,Brennisteinsdíoxíð SO2,213,2,0
29,1998,Svifryk PM10,213,33,0
30,1998,Brennisteinsvetni H2S,"","",""
31,1999,Niturdíoxíð NO2,168,32,0
32,1999,Kolmónoxíð CO,186,1,0
33,1999,Óson O3,224,46,30
34,1999,Brennisteinsdíoxíð SO2,226,4,0
35,1999,Svifryk PM10,225,33,2
36,1999,Brennisteinsvetni H2S,"","",""
37,2000,Niturdíoxíð NO2,162,37,1
38,2000,Kolmónoxíð CO,175,0,0
39,2000,Óson O3,207,46,50
40,2000,Brennisteinsdíoxíð SO2,207,3,0
41,2000,Svifryk PM10,207,39,7
42,2000,Brennisteinsvetni H2S,"","",""
43,2001,Niturdíoxíð NO2,204,29,0
44,2001,Kolmónoxíð CO,204,0,0
45,2001,Óson O3,245,46,59
46,2001,Brennisteinsdíoxíð SO2,241,3,0
47,2001,Svifryk PM10,196,19,0
48,2001,Brennisteinsvetni H2S,"","",""
49,2002,Niturdíoxíð NO2,331,21,0
50,2002,Kolmónoxíð CO,260,0,0
51,2002,Óson O3,350,53,93
52,2002,Brennisteinsdíoxíð SO2,229,3,0
53,2002,Svifryk PM10,350,26,29
54,2002,Brennisteinsvetni H2S,"","",""
55,2003,Niturdíoxíð NO2,362,24,3
56,2003,Kolmónoxíð CO,365,0,0
