avg temperature,max temp,min temp,rain,rain type,snow depth,snow type,sun hours,avg wind,max wind,gust,date
"4,6","8,8","4,9","1,2",sl,0,0,",0","2,7","11,9","9,9",2020-11-01
"7,3","10,4","0,5","1,5",ri,0,0,"0,8","5,8","5,8","9,0",2020-11-02
"7,1","6,6","1,8","4,1",,0,0,"1,4","2,9","4,6","9,3",2020-11-03
"2,8","7,1","1,6","0,0",ri,0,0,"0,0","1,3","4,6","11,3",2020-11-04
"4,9","6,1","3,1","5,2",sl,0,0,"4,3","3,1","5,8","8,4",2020-11-05
"3,8","9,1","2,3","5,0",sl,0,0,"5,4","3,5","4,8","5,3",2020-11-06
"6,7","8,4","0,7","4,0",ri,0,2,"0,0","2,7","3,4","15,6",2020-11-07
"3,1","2,8","0,9","0,2",,0,2,"2,0","1,3","9,2","14,4",2020-11-08
"1,5","6,6","0,4","0,0",sn,0,0,"4,3","4,7","7,9","11,7",2020-11-09
"4,5","6,8","-1,2","0,4",,0,0,"5,6","4,2","6,4","6,8",2020-11-10
"2,4","2,9","-2,4","0,0",,0,0,"2,7","1,6","4,2","7,7",2020-11-11
"-0,2","3,2","0,0","0,0",,0,2,"0,0","1,7","4,8","8,6",2020-11-12
"2,5","3,4","-3,3","0,0",,0,0,"0,4","2,1","4,8","21,5",2020-11-13
"1,1","0,4","-8,5","0,0",0,0,0,"0,0","1,9","13,5","26,2",2020-11-14
"-2,5","-2,8","-10,0","1,8",ri,0,0,"4,2","5,0","15,7","23,1",2020-11-15
"-6,5","1,0","-0,4","0,2",sl,0,0,"0,0","10,0","12,5","15,9",2020-11-16
"-3,2","4,2","1,0","1,8",sl,0,0,"0,0","7,7","9,9","10,3",2020-11-17
"2,6","3,4","0,0","0,1",,0,0,"0,5","4,4","5,5","20,2",2020-11-18
