Ár;Austurstræti;Bíldshöfði;Borgartún;Breiðholtsbraut;Bústaðavegur;Geirsgata;Gullinbrú;Háaleitisbraut;Hafnarstræti;Hamrahlíð;Höfðabakkabrú;Hringbraut;Ingólfsg/Faxagata;Korpúlfsstaðavegur;Kringlumýrarbraut;Laugavegur;Miklabraut;Njarðargata;Reykjanesbraut;Sæbraut;Skólabrú;Skothúsvegur;Suðurhlíð;Tryggvagata;Vesturlvegur við Úlfarsá;Vesturlandsvegur;Víkurvegur;Vonarstræti;Alls
1994;4150;3650;13024;4240;36909;17814;;13580;9400;9100;18188;40376;1690;;56000;23087;40023;1650;50100;20012;5530;5600;204;;;50571;;6011;430909
1995;5200;3500;12884;5334;35717;18792;22497;14285;9700;9000;16876;40136;1700;;55590;24380;41749;1630;49209;21693;5500;5538;190;;;53462;5826;5609;465997
1996;5400;3400;13233;5100;36163;23076;23650;13118;3695;9600;17896;39577;1691;;57909;22732;41696;1990;50327;22613;5142;5327;200;;;53462;7225;6093;470315
1997;2716;3411;13097;6000;36908;25956;24652;15309;5145;8468;18200;40600;2028;;59929;22208;42868;2400;50813;22573;5150;5478;184;;11960;58940;8399;5821;499213
1998;2754;3400;10736;5977;37854;24629;26780;15400;;8212;19000;41267;1233;;63329;23389;43602;3497;55661;23984;4763;5368;194;;;66223;10228;5861;503341
1999;2346;3500;12098;6909;39104;28183;29581;16335;;8500;19400;41731;1252;;66699;23203;44022;3629;56227;26287;;5395;200;;16112;71496;10943;8100;541252
2000;2941;3700;13036;7000;40724;27834;30818;16589;;8850;23000;45873;1231;;67951;22883;44306;3990;58511;26712;4450;5095;210;;16431;76715;12943;5569;567362
2001;2977;3428;15239;6609;39288;26353;29755;16327;;8241;21679;46557;1311;;68102;22525;43680;;60795;24751;2652;5070;230;;17126;77060;13710;5263;558728
2002;2716;4292;16603;6448;40257;24298;31998;16038;1452;6933;21104;42449;1158;;66292;21440;43230;6279;60494;22965;3889;4751;250;;17558;73404;14705;5214;556217
2003;2440;3969;16958;7435;39331;23418;29237;16926;2286;6995;21092;43030;1082;;68845;21866;41713;7003;57256;23284;3553;4632;355;;18471;78622;15414;4343;559556
2004;2770;4331;18481;8847;38207;26037;30837;16710;3104;7319;23579;43012;909;;70507;23101;41832;6895;62921;25673;3424;4487;331;;19841;83046;17044;3221;586466
2005;2695;4517;18644;10426;37216;25078;36482;17041;1688;7304;23223;37560;787;;71131;19021;44554;7884;64379;28379;3621;6300;338;;20054;84234;16881;4504;593941
2006;2594;3956;18587;13653;38658;24661;31850;16351;2638;7373;23807;38229;;;72478;19317;44726;8082;63103;27180;3262;4985;320;;21924;86147;14354;5210;593445
2007;2361;4033;19115;13873;35135;22712;31615;16128;3327;7746;24901;39533;;4098;67228;18518;46925;9192;67074;26061;3478;5044;241;4062;24615;91399;15428;5148;608990
2008;1637;4031;18213;14365;35337;19168;28379;16640;5717;6688;23833;36399;;4163;62770;20003;45884;9195;62733;23413;2921;5416;296;3000;25185;83628;15734;4488;579236
2009;2270;4212;14540;13188;37433;22935;29370;15407;2126;6438;21499;40633;737;4220;68844;21367;46858;9589;63266;23245;2474;4563;294;4727;24093;85182;15063;4507;589080
2010;;4102;17454;14182;37604;18441;30021;15591;5229;7166;21241;38570;1200;4222;69507;18751;47348;9079;69738;24897;4436;4769;345;198;23426;86470;15310;4849;594146
2011;;4172;20156;14251;37811;18224;27373;15504;5621;6471;19598;37099;907;4056;68636;18789;45107;7720;66506;24509;3346;4759;283;;22948;84338;15390;4351;577925
2012;;4202;17232;14189;37844;18930;28489;15509;;8141;21512;39164;1248;4352;68980;19348;48634;8802;62408;24916;3388;4611;294;5674;23739;85906;15302;4212;587026
2013;;4252;17252;14609;38113;;;15102;;6312;20702;;;;70249;18882;44872;;73322;26006;;;277;;24529;82684;;;457163
2014;;3785;17954;14857;37850;20537;28310;14688;;6820;20088;37457;1805;4625;70874;19073;48121;9651;67829;26221;2499;4366;296;5694;25676;86188;16133;5031;596428
2015;;3931;18748;16255;38756;20114;27919;14694;;7094;21283;38813;1548;4365;70024;20448;46926;9503;74592;26895;2864;4264;283;4688;26839;92650;14358;4303;612157
2016;;4217;18625;17692;40296;;27624;14722;;7223;22629;;;4738;76371;19599;44976;;77229;27358;;;303;;29138;94453;16449;;543642
2017;;4703;17573;18839;40631;17681;29104;14026;;6697;23064;47672;1663;5070;92322;20639;43761;9654;89818;25390;;3759;271;;31262;127191;17326;5557;693673
2018;;4256;18042;19049;44278;;30827;15796;;7246;22846;41778;;5276;91244;21076;44495;10036;81229;26582;;5162;301;;34573;122610;16095;;662797
2019;;4749;18063;19824;43183;21211;31369;16283;;6896;22747;41943;2464;5316;88572;20866;43271;8780;81769;25234;;4345;315;;34355;118590;16706;;676851
