_id,Ár,Mánuður,Meðalhiti (°C),Meðalhámarkshiti (°C),Meðallágmarkshiti (°C),Úrkoma (mm),Meðalvindhraði (m/s),Sólskinsstundir (klst)
1,2001,Janúar,1,"3,4","-1,2","78,2","4,9","35,5"
2,2001,Febrúar,"-0,2","3,1",-3,"80,8","5,7","91,8"
3,2001,Mars,0,"3,5","-2,8","24,4","3,7",126
4,2001,Apríl,"3,7","7,6","0,9",32,4,"212,5"
5,2001,Maí,"6,6","9,8","4,5","87,1","4,2","130,6"
6,2001,Júní,"8,8","11,8","6,3","31,7","3,6","205,4"
7,2001,Júlí,"10,9",14,"8,4","80,4","3,2","156,4"
8,2001,Ágúst,"11,1","14,3","8,3","63,4","3,1","202,4"
9,2001,September,"9,4","12,1","7,2","94,3","3,8","94,5"
10,2001,Október,"6,3","10,1","3,9",63,"3,6","107,5"
11,2001,Nóvember,"1,8","5,1","-1,1","80,2","6,1","18,9"
12,2001,Desember,"2,5","4,9",0,"76,4","5,4",8
13,2001,Ársmeðaltal,"5,2","8,3","2,6",66,"4,3","115,8"
14,2002,Janúar,"1,4","4,2","-0,8",117,"5,6","40,6"
15,2002,Febrúar,"-3,3","0,2","-6,3",42,"4,6",108
16,2002,Mars,"0,3","3,2",-2,"91,4","4,6",116
17,2002,Apríl,"3,9","7,2","1,7","90,3","5,1","142,7"
18,2002,Maí,"7,2","11,1",4,23,"3,9","239,4"
19,2002,Júní,"10,8","14,2","8,3","34,4","3,6","186,4"
20,2002,Júlí,"10,6","13,5","8,5","44,8","3,7",135
21,2002,Ágúst,"10,2","12,9",8,"76,8",4,127
22,2002,September,"9,4","12,1","7,4","124,2","3,5","76,1"
23,2002,Október,"4,9","7,5","2,8","68,8","4,4","134,8"
24,2002,Nóvember,"4,7","6,9","2,7","84,9","4,3","52,6"
25,2002,Desember,"4,5","6,7","2,8","118,8","4,8","7,6"
26,2002,Ársmeðaltal,"5,4","8,3","3,1","76,4","4,3","113,9"
27,2003,Janúar,"1,5",4,"-0,6","44,8","4,7","24,2"
28,2003,Febrúar,2,"4,6","-0,5","157,5","6,3","38,9"
29,2003,Mars,"3,5","6,1","1,1","117,3","5,4","103,4"
30,2003,Apríl,"6,2","9,3","3,8","73,6","4,5",120
31,2003,Maí,"6,3","9,7",3,"39,9","3,4","282,9"
32,2003,Júní,"11,3","14,4","8,8",85,"3,1",146
33,2003,Júlí,"12,3","15,1",10,"64,6","2,6",131
34,2003,Ágúst,"12,8","15,6","10,4","75,5","2,9","158,2"
35,2003,September,"8,3","11,2","5,8","78,5","4,7","143,9"
36,2003,Október,"5,6",8,"3,5","37,7","4,4","93,6"
37,2003,Nóvember,"2,7","4,6","0,4","78,2","4,3","57,6"
38,2003,Desember,"0,4","2,8","-2,2","124,7","3,8","8,1"
39,2003,Ársmeðaltal,"6,1","8,8","3,6","81,4","4,2",109
40,2004,Janúar,"-0,2","2,3","-2,4",52,"4,3","31,3"
41,2004,Febrúar,"1,1","3,9","-2,1","64,8",5,62
42,2004,Mars,"3,9","6,6","1,9","122,1","6,1","104,8"
43,2004,Apríl,"5,2","8,1","2,8",107,"4,6","167,5"
44,2004,Maí,"7,2","10,2","4,5","69,8","4,4","178,1"
45,2004,Júní,"10,4","13,6","7,8","45,2","3,7","198,6"
46,2004,Júlí,"11,5","14,6",9,"56,4","3,3","203,3"
47,2004,Ágúst,"12,6","15,8","9,6","59,8","3,2","248,3"
