Ársmeðaltöl fyrir stöð 1 - Reykjavík
stöð	 ár	  t	  tx	  txx	txxD1	  tn	 tnn	tnnD1	 rh	 r	 rx	rxD1	 p	 n	sun	 f
1	1949	  3.8	  6.7	 20.4	22-06	  1.0	-15.3	09-12	 81.0	753.4	 25.1	29-08	1004.3	5.9	1149.8	 6.2
1	1950	  4.8	  7.7	 23.2	17-07	  2.2	-13.6	23-02	 78.0	672.1	 22.9	07-11	1003.4	5.6	1363.3	 6.3
1	1951	  4.1	  6.9	 17.6	16-08	  1.4	-12.9	10-12	 78.0	560.3	 18.1	11-12	1004.5	5.5	1333.0	 6.7
1	1952	  4.4	  7.2	 16.3	03-08	  1.9	-11.6	03-01	 79.0	628.1	 30.4	31-01	1008.5	5.6	1377.1	 6.9
1	1953	  5.3	  8.0	 19.1	21-07	  2.8	-11.2	31-01	 82.0	1079.8	 40.3	13-02	1004.0	6.2	1102.1	 6.7
1	1954	  4.9	  7.7	 20.7	06-06	  2.4	-13.0	08-02	 80.0	768.6	 30.6	07-07	1003.1	5.8	1180.9	 7.3
1	1955	  4.4	  7.0	 20.5	02-06	  1.9	-15.0	14-01	 80.0	640.1	 21.3	20-01	1008.2	5.7	1130.7	 6.5
1	1956	  5.3	  7.9	 17.8	26-06	  2.8	-17.1	24-01	 81.0	929.6	 30.6	02-02	1006.7	5.8	1149.9	 7.4
1	1957	  5.0	  7.7	 17.0	01-07	  2.4	-12.4	22-12	 78.0	813.6	 22.2	02-02	1006.6	5.5	1401.4	 6.8
1	1958	  5.0	  7.8	 21.0	21-07	  2.3	-13.3	06-02	 79.0	783.3	 29.1	18-11	1008.0	5.6	1442.5	 6.2
1	1959	  5.0	  7.7	 19.3	24-06	  2.6	-12.7	21-01	 81.0	1080.2	 49.2	26-09	1003.8	5.9	1072.7	 6.8
1	1960	  5.6	  8.3	 20.6	14-05	  3.2	-11.8	17-02	 81.0	596.6	 18.4	07-02	1007.7	5.6	1468.7	 5.8
1	1961	  4.9	  7.6	 17.4	25-07	  2.5	-16.8	28-12	 80.0	720.0	 20.1	12-12	1003.4	5.7	1245.1	 6.1
1	1962	  4.6	  7.2	 19.1	21-07	  2.1	-11.0	12-12	 80.0	764.1	 22.5	14-04	1008.5	5.8	1310.8	 6.4
1	1963	  4.9	  7.5	 19.3	07-06	  2.5	-12.5	11-04	 80.0	664.2	 28.5	19-09	1007.2	5.9	1283.2	 5.8
1	1964	  5.7	  8.4	 18.3	09-08	  3.2	-14.0	13-12	 79.0	785.1	 19.7	26-01	1006.5	5.8	1305.1	 6.2
1	1965	  5.0	  7.7	 16.9	09-08	  2.3	-13.5	26-12	 79.0	610.1	 35.7	20-10	1009.3	5.5	1433.2	 5.4
1	1966	  4.2	  6.9	 19.7	01-08	  1.6	-16.6	24-01	 78.0	710.7	 34.1	22-07	1007.6	5.6	1541.4	 5.8
1	1967	  4.1	  6.8	 17.0	17-07	  1.4	-12.0	07-12	 78.0	835.1	 44.7	11-12	1004.8	5.6	1518.0	 6.1
1	1968	  4.6	  7.2	 18.5	10-09	  2.0	-16.4	01-04	 80.0	774.0	 37.8	27-02	1009.4	5.7	1371.4	 6.0
1	1969	  4.0	  6.6	 19.9	05-08	  1.4	-17.6	07-02	 80.0	932.8	 28.6	17-03	1007.5	5.9	1129.8	 6.0
